id,reference_id,amount,currency,date,status,can_cancel
2110920539,9986304,211,SAR,"2021-01-18 19:15:35.000000","تم التوصيل",
838610269,9937146,118,SAR,"2021-01-17 04:07:42.000000","تم التوصيل",
1311312786,9905463,118,SAR,"2021-01-16 00:51:16.000000","تم التوصيل",
590800576,9882725,19.58,SAR,"2021-01-15 01:46:43.000000","تم التوصيل",
270322422,9882195,118,SAR,"2021-01-15 01:22:22.000000","تم التوصيل",
598783598,9787083,249,SAR,"2021-01-11 20:17:14.000000","تم التوصيل",
415223074,9769863,20,SAR,"2021-01-11 04:41:36.000000","تم التوصيل",
1090967365,9764578,117.3,SAR,"2021-01-11 00:28:13.000000","تم التوصيل",
1098291976,9756589,88,SAR,"2021-01-10 20:18:09.000000","تم التوصيل",
144423587,9749768,306,SAR,"2021-01-10 16:26:36.000000","تم التوصيل",
222375731,9748632,118,SAR,"2021-01-10 15:40:53.000000","تم التوصيل",
1145978259,9572920,153,SAR,"2021-01-04 18:24:52.000000","تم التوصيل",
1402375289,9559518,4.95,SAR,"2021-01-04 09:31:06.000000","تم التوصيل",
1682641046,9540659,324,SAR,"2021-01-03 19:55:33.000000","تم التوصيل",
278958305,9527622,108,SAR,"2021-01-03 13:29:17.000000","تم التوصيل",
501118770,9521559,108,SAR,"2021-01-03 08:18:12.000000","تم التوصيل",
806642429,9501530,117.9,SAR,"2021-01-02 19:24:17.000000","تم التوصيل",
1450066330,9492287,108,SAR,"2021-01-02 14:31:44.000000","تم التوصيل",
1489222685,9458106,108,SAR,"2021-01-01 13:43:02.000000","تم التوصيل",
155663566,9453675,100.9,SAR,"2021-01-01 08:34:02.000000","تم التوصيل",
1744359397,9418306,108,SAR,"2020-12-31 10:47:07.000000",ملغي,
1370582693,9262850,109.38,SAR,"2020-12-28 06:27:32.000000","تم التوصيل",
1688351861,9155026,22,SAR,"2020-12-25 20:08:14.000000","تم التوصيل",
1866561935,9003564,346.38,SAR,"2020-12-20 12:36:44.000000","تم التوصيل",
2027990906,8968671,127,SAR,"2020-12-18 22:29:27.000000","تم التوصيل",
573414804,8968497,127,SAR,"2020-12-18 22:19:49.000000",ملغي,
400289927,8774436,6.2,SAR,"2020-12-11 19:58:58.000000","تم التوصيل",
538316083,8774296,70,SAR,"2020-12-11 19:52:21.000000","تم التوصيل",
2051357674,8772943,6.2,SAR,"2020-12-11 18:56:55.000000","تم التوصيل",
673316782,8772875,6.2,SAR,"2020-12-11 18:54:08.000000","تم التوصيل",
946036798,8772763,125.9,SAR,"2020-12-11 18:49:13.000000","تم التوصيل",
1397185201,8771350,70,SAR,"2020-12-11 17:45:55.000000","تم التوصيل",
576574550,8589555,399,SAR,"2020-12-05 21:40:19.000000","تم التوصيل",
1158684025,8408286,34,SAR,"2020-11-30 23:56:55.000000","تم التوصيل",
1023125027,8407432,118,SAR,"2021-01-04 13:39:57.000000","تم التوصيل",
422209124,28143809,124.03,SAR,"2021-12-23 16:49:14.000000","جاري التوصيل",
1112030805,27498482,249.14,SAR,"2021-12-09 00:11:11.000000","تم التوصيل",
1996574234,27417279,122.09,SAR,"2021-12-07 15:37:13.000000","قيد التنفيذ",
1772561746,27409399,124.03,SAR,"2021-12-07 12:50:00.000000","جاري التوصيل",
938443448,27359261,143,SAR,"2021-12-06 16:31:07.000000","جاري التوصيل",
599764521,27331470,151,SAR,"2021-12-06 02:32:45.000000","تم الشحن",
114621131,27270512,97,SAR,"2021-12-05 05:36:32.000000","جاري التوصيل",
2139794389,27241074,91.99,SAR,"2021-12-04 18:57:04.000000","جاري التوصيل",
1216573912,27208061,91.05,SAR,"2021-12-04 01:12:26.000000","تم التوصيل",
287688714,27193519,171.56,SAR,"2021-12-03 20:26:23.000000","تم التوصيل",
2009779603,27165240,151,SAR,"2021-12-03 08:14:42.000000","تم الشحن",
928392747,27115920,119.17,SAR,"2021-12-02 12:34:08.000000","جاري التوصيل",
2119499825,27107734,75.53,SAR,"2021-12-02 08:19:40.000000","جاري التوصيل",
381524099,27051816,171.56,SAR,"2021-12-01 14:41:25.000000","تم التوصيل",
850658997,27041554,124.03,SAR,"2021-12-01 11:09:31.000000","تم التوصيل",
1670285280,27020101,127,SAR,"2021-12-01 00:46:49.000000",ملغي,
1042678173,26901562,144,SAR,"2021-11-29 16:16:38.000000","تم التوصيل",
1381450876,26835673,59.04,SAR,"2021-11-28 20:38:02.000000","جاري التوصيل",
1617925365,26726738,220.06,SAR,"2021-11-27 09:19:39.000000","تم التوصيل",
128213720,26687613,171.56,SAR,"2021-11-26 14:33:41.000000","تم التوصيل",
964772104,26683821,75.53,SAR,"2021-11-26 13:10:49.000000","تم التوصيل",
1925502426,26674047,206.48,SAR,"2021-11-26 04:21:26.000000","تم التوصيل",
1196139153,26631990,174,SAR,"2021-11-25 10:39:36.000000","تم الشحن",
554109459,26592696,576.18,SAR,"2021-11-24 14:13:01.000000","تم التوصيل",
1656548609,26588326,174,SAR,"2021-11-24 11:27:08.000000","تم الشحن",
1442550507,26580304,83,SAR,"2021-11-24 03:00:38.000000","تم التوصيل",
2092468814,26571499,123.06,SAR,"2021-11-23 22:15:20.000000","تم التوصيل",
592732483,26554088,187.08,SAR,"2021-11-23 14:38:46.000000","تم التوصيل",
26133465,26539646,68,SAR,"2021-11-23 02:57:55.000000","قيد التنفيذ",
