id,reference_id,amount,currency,date,status,can_cancel
983046704,11958421,338.5,SAR,"2021-03-07 00:23:42.000000","تم الشحن",
1710121285,11957474,146,SAR,"2021-03-07 00:02:53.000000","تم الشحن",
11130003,11955000,265,SAR,"2021-03-06 23:10:29.000000","تم التوصيل",
1091192206,11953963,507,SAR,"2021-03-06 22:49:51.000000","تم التوصيل",
781989821,11953690,88.1,SAR,"2021-03-06 22:44:21.000000","تم التوصيل",
676275159,11952244,114,SAR,"2021-03-06 22:13:22.000000","تم التوصيل",
1053319920,11952213,335,SAR,"2021-03-06 22:12:43.000000","تم الشحن",
1695152332,11945577,64,SAR,"2021-03-06 20:05:44.000000","تم التوصيل",
2066499368,11944845,160,SAR,"2021-03-06 19:53:06.000000",مسترجع,
269018033,11943446,88.1,SAR,"2021-03-06 19:29:16.000000","تم التوصيل",
1697026412,11943369,114,SAR,"2021-03-06 19:27:53.000000",مسترجع,
52150001,11940694,495,SAR,"2021-03-06 18:41:28.000000","تم الشحن",
1182811334,11939939,71.7,SAR,"2021-03-06 18:25:26.000000","تم الشحن",
434115607,11939764,498,SAR,"2021-03-06 18:21:26.000000","تم التوصيل",
825186907,11939328,164,SAR,"2021-03-06 18:11:07.000000","تم التوصيل",
1592448599,11939316,95,SAR,"2021-03-06 18:10:47.000000","تم التوصيل",
10817135,11939276,219.56,SAR,"2021-03-06 18:20:45.000000","تم التوصيل",
1737163336,11938029,71.7,SAR,"2021-03-06 17:41:26.000000","تم الشحن",
124293659,11937216,154.8,SAR,"2021-03-06 17:23:02.000000","تم التوصيل",
1884826108,11937113,200.5,SAR,"2021-03-06 17:20:51.000000","تم التوصيل",
762258315,11936816,114,SAR,"2021-03-06 17:13:13.000000","تم الشحن",
1812646310,11934467,95,SAR,"2021-03-06 16:21:10.000000","تم التوصيل",
772949369,11932894,222.01,SAR,"2021-03-06 15:44:24.000000","تم التوصيل",
983717737,11932366,95,SAR,"2021-03-06 15:32:37.000000","تم التوصيل",
1853283635,11932312,262.54,SAR,"2021-03-06 15:31:27.000000","تم التوصيل",
206841499,11931968,114,SAR,"2021-03-06 15:24:12.000000","تم التوصيل",
1993612159,11931868,215.75,SAR,"2021-03-06 15:22:13.000000","تم التوصيل",
1400904377,11931422,95,SAR,"2021-03-06 15:13:00.000000","تم التوصيل",
314239939,1193064,705,SAR,"2019-12-20 13:29:55.000000","تم الشحن",
1896414195,1193048,186,SAR,"2019-12-20 13:24:04.000000","تم الشحن",
1716134216,11930093,95,SAR,"2021-03-06 14:40:36.000000","تم التوصيل",
1992988508,11929593,117,SAR,"2021-03-06 14:27:52.000000","تم الشحن",
913992230,11926147,294,SAR,"2021-03-06 13:00:59.000000",ملغي,
848033474,11926119,150.2,SAR,"2021-03-06 13:00:11.000000","تم التوصيل",
296369717,11925394,166,SAR,"2021-03-06 12:34:55.000000","تم الشحن",
1548918642,11923927,88.1,SAR,"2021-03-06 11:39:43.000000","تم التوصيل",
138825164,11923817,164,SAR,"2021-03-06 11:34:55.000000","تم التوصيل",
1756212206,11923787,233,SAR,"2021-03-06 11:33:38.000000","تم التوصيل",
359740725,11923602,723.29,SAR,"2021-03-06 11:24:40.000000","تم الشحن",
684263269,11923138,95,SAR,"2021-03-06 11:03:06.000000","تم التوصيل",
367331984,11921461,97,SAR,"2021-03-06 09:19:12.000000","تم الشحن",
70890660,11919873,286.75,SAR,"2021-03-06 07:13:43.000000","تم التوصيل",
1220556937,11919662,134,SAR,"2021-03-06 06:59:16.000000",مسترجع,
602532767,11919420,114,SAR,"2021-03-06 06:44:54.000000","تم التوصيل",
790239787,11918736,277,SAR,"2021-03-06 06:04:27.000000","تم الشحن",
403411340,11918633,97,SAR,"2021-03-06 05:59:27.000000","تم التوصيل",
1346832709,11918562,47,SAR,"2021-03-06 05:55:08.000000","تم التوصيل",
455953403,11918432,165.98,SAR,"2021-03-06 05:47:50.000000","تم التوصيل",
1779057254,11915971,286.06,SAR,"2021-03-06 04:01:32.000000","تم التوصيل",
533035582,11915931,192.55,SAR,"2021-03-06 16:14:49.000000","تم الشحن",
1902538607,11914444,97,SAR,"2021-03-06 03:20:16.000000","تم الشحن",
1348408883,11913624,97,SAR,"2021-03-06 03:02:13.000000","تم الشحن",
2057724042,11913263,404.25,SAR,"2021-03-06 02:49:45.000000","تم التوصيل",
1917721479,11913252,171,SAR,"2021-03-06 02:49:21.000000","تم التوصيل",
1996603109,11913026,114,SAR,"2021-03-06 02:41:36.000000","تم التوصيل",
1253841039,11911980,127,SAR,"2021-03-06 02:08:07.000000","تم الشحن",
1152767206,11911235,115,SAR,"2021-03-06 01:46:23.000000","تم التوصيل",
1590869741,11910986,487,SAR,"2021-03-06 01:39:38.000000","تم الشحن",
1262226680,11910749,183,SAR,"2021-03-06 01:33:24.000000","تم التوصيل",
